| Section Number | Paragraph Number | Content |
|---------------|-----------------|---------|
| 1 | | This Act may be cited as the Artificial Intelligence and Data Act. |
| 2 | | The following definitions apply in this Act. artificial intelligence system means a technological system that, autonomously or partly autonomously, processes data related to human activities through the use of a genetic algorithm, a neural network, machine learning or another technique in order to generate content or make decisions, recommendations or predictions. (système d'intelligence artificielle) person includes a trust, a joint venture, a partnership, an unincorporated association and any other legal entity. (personne) personal information has the meaning assigned by subsections 2(1) and (3) of the Consumer Privacy Protection Act. (renseignement personnel) |
| 3 | (1) | This Act does not apply with respect to a government institution as defined in section 3 of the Privacy Act. |
| 3 | (2) | This Act does not apply with respect to a product, service or activity that is under the direction or control of (a) the Minister of National Defence; (b) the Director of the Canadian Security Intelligence Service; (c) the Chief of the Communications Security Establishment; or (d) any other person who is responsible for a federal or provincial department or agency and who is prescribed by regulation. |
| 3 | (3) | The Governor in Council may make regulations prescribing persons for the purpose of paragraph (2)‍(d). |
| 4 | | The purposes of this Act are (a) to regulate international and interprovincial trade and commerce in artificial intelligence systems by establishing common requirements, applicable across Canada, for the design, development and use of those systems; and (b) to prohibit certain conduct in relation to artificial intelligence systems that may result in serious harm to individuals or harm to their interests. |
| 5 | (1) | The following definitions apply in this Part. biased output means content that is generated, or a decision, recommendation or prediction that is made, by an artificial intelligence system and that adversely differentiates, directly or indirectly and without justification, in relation to an individual on one or more of the prohibited grounds of discrimination set out in section 3 of the Canadian Human Rights Act, or on a combination of such prohibited grounds. It does not include content, or a decision, recommendation or prediction, the purpose and effect of which are to prevent disadvantages that are likely to be suffered by, or to eliminate or reduce disadvantages that are suffered by, any group of individuals when those disadvantages would be based on or related to the prohibited grounds. (résultat biaisé) confidential business information, in respect of a person to whose business or affairs the information relates, means business information (a) that is not publicly available; (b) in respect of which the person has taken measures that are reasonable in the circumstances to ensure that it remains not publicly available; and (c) that has actual or potential economic value to the person or their competitors because it is not publicly available and its disclosure would result in a material financial loss to the person or a material financial gain to their competitors. (renseignements commerciaux confidentiels) harm means (a) physical or psychological harm to an individual; (b) damage to an individual's property; or (c) economic loss to an individual. (préjudice) high-impact system means an artificial intelligence system that meets the criteria for a high-impact system that are established in regulations. (système à incidence élevée) Minister means the member of the Queen's Privy Council for Canada designated under section 31 or, if no member is so designated, the Minister of Industry. (ministre) regulated activity means any of the following activities carried out in the course of international or interprovincial trade and commerce: (a) processing or making available for use any data relating to human activities for the purpose of designing, developing or using an artificial intelligence system; (b) designing, developing or making available for use an artificial intelligence system or managing its operations. (activité réglementée) |
| 5 | (2) | For the purposes of this Part, a person is responsible for an artificial intelligence system, including a high-impact system, if, in the course of international or interprovincial trade and commerce, they design, develop or make available for use the artificial intelligence system or manage its operation. |
| 6 | | A person who carries out any regulated activity and who processes or makes available for use anonymized data in the course of that activity must, in accordance with the regulations, establish measures with respect to (a) the manner in which data is anonymized; and (b) the use or management of anonymized data. |
| 7 | | A person who is responsible for an artificial intelligence system must, in accordance with the regulations, assess whether it is a high-impact system. |
| 8 | | A person who is responsible for a high-impact system must, in accordance with the regulations, establish measures to identify, assess and mitigate the risks of harm or biased output that could result from the use of the system. |
| 9 | | A person who is responsible for a high-impact system must, in accordance with the regulations, establish measures to monitor compliance with the mitigation measures they are required to establish under section 8 and the effectiveness of those mitigation measures. |
| 10 | (1) | A person who carries out any regulated activity must, in accordance with the regulations, keep records describing in general terms, as the case may be, (a) the measures they establish under sections 6, 8 and 9; and (b) the reasons supporting their assessment under section 7. |
| 10 | (2) | The person must, in accordance with the regulations, keep any other records in respect of the requirements under sections 6 to 9 that apply to them. |
| 11 | (1) | A person who makes available for use a high-impact system must, in the time and manner that may be prescribed by regulation, publish on a publicly available website a plain-language description of the system that includes an explanation of (a) how the system is intended to be used; (b) the types of content that it is intended to generate and the decisions, recommendations or predictions that it is intended to make; (c) the mitigation measures established under section 8 in respect of it; and (d) any other information that may be prescribed by regulation. |
| 11 | (2) | A person who manages the operation of a high-impact system must, in the time and manner that may be prescribed by regulation, publish on a publicly available website a plain-language description of the system that includes an explanation of (a) how the system is used; (b) the types of content that it generates and the decisions, recommendations or predictions that it makes; (c) the mitigation measures established under section 8 in respect of it; and (d) any other information that may be prescribed by regulation. |
| 12 | | A person who is responsible for a high-impact system must, in accordance with the regulations and as soon as feasible, notify the Minister if the use of the system results or is likely to result in material harm. |
| 13 | | The Minister may, by order, require that a person referred to in subsection 10(1) provide the Minister with any of the records referred to in that subsection. |
| 14 | | If the Minister has reasonable grounds to believe that the use of a high-impact system could result in harm or biased output, the Minister may, by order, require that a person referred to in subsection 10(2) provide the Minister, in the form specified in the order, with any of the records referred to in that subsection that relate to that system. |
| 15 | (1) | If the Minister has reasonable grounds to believe that a person has contravened any of sections 6 to 12 or an order made under section 13 or 14, the Minister may, by order, require that the person (a) conduct an audit with respect to the possible contravention; or (b) engage the services of an independent auditor to conduct the audit. |
| 15 | (2) | The audit must be conducted by a person who meets the qualifications that are prescribed by regulation. |
| 15 | (3) | If the audit is conducted by an independent auditor, the person who is audited must give all assistance that is reasonably required to enable the auditor to conduct the audit, including by providing any records or other information specified by the auditor. |
| 15 | (4) | The person who is audited must provide the Minister with the audit report. |
| 15 | (5) | In all cases, the cost of the audit is payable by the person who is audited. |
| 16 | | The Minister may, by order, require that a person who has been audited implement any measure specified in the order to address anything referred to in the audit report. |
| 17 | (1) | The Minister may, by order, require that any person who is responsible for a high-impact system cease using it or making it available for use if the Minister has reasonable grounds to believe that the use of the system gives rise to a serious risk of imminent harm. |
| 17 | (2) | The order is exempt from the application of sections 3 and 9 of the Statutory Instruments Act. |
| 18 | (1) | The Minister may, by order, require that a person referred to in any of sections 6 to 12, 15 and 16 publish, on a publicly available website, any information related to any of those sections. However, the Minister is not permitted to require that the person disclose confidential business information. |
| 18 | (2) | The person must publish the information under subsection (1) in accordance with any regulations. |
| 19 | | A person who is the subject of an order made by the Minister under this Part must comply with the order. |
| 20 | | The Minister may file a certified copy of an order made under any of sections 13 to 18 in the Federal Court and, on the certified copy being filed, the order becomes and may be enforced as an order of the Federal Court. |
| 21 | | An order made under any of sections 13 to 16 and 18 is not a statutory instrument as defined in subsection 2(1) of the Statutory Instruments Act. |
| 22 | | For greater certainty, confidential business information that is obtained by the Minister under this Part does not lose its confidential nature by the mere fact that it is so obtained or that it has been disclosed by the Minister under section 25 or 26. |
| 23 | | Subject to sections 24 to 26, the Minister must take measures to maintain the confidentiality of any confidential business information that the Minister obtains under this Part. |
| 24 | | The Minister may disclose confidential business information for the purpose of complying with a subpoena or warrant issued or order made by a court, person or body with jurisdiction to compel the production of information or for the purpose of complying with rules of court relating to the production of information. |
| 25 | (1) | The Minister may disclose any information that is obtained under this Part to an analyst designated under section 34. |
| 25 | (2) | The Minister may impose any condition on the analyst in order to protect the confidentiality of information that the Minister discloses. |
| 25 | (3) | An analyst must maintain the confidentiality of information disclosed to them under subsection (1) and may use the information only for the administration and enforcement of this Part. |
